"Actions","操作"
"Add Answer","新增答案"
"Add New Answer","新增答案"
"Add New Poll","新增投票"
"Answer Title","答案標題"
"Answer Title:","答案標題："
"Answer with the same title in this poll","在投票中使用相同標題回答"
"Are you sure you want to delete it?","您是否確認要將其刪除？"
"Assigned Answers","分配的答案"
"Closed","已關閉"
"Community Poll","社區投票"
"Date Closed","關閉日期"
"Date Posted","發布日期"
"Delete","刪除"
"Delete Answer","刪除答案"
"Delete Poll","刪除投票"
"Disallow Voting in a Poll Multiple Times from Same IP-address","不允許相同IP地址多次參與同一個投票"
"Edit Answer '%s'","編輯答案 '%s'"
"Edit Poll '%s'","編輯投票 '%s'"
"Edit Poll Answer","編輯投票答案"
"ID","ID"
"Invalid Answer.","無效答案。"
"New Poll","新投票"
"Number of Responses","響應次數"
"Open","打開"
"Poll Answers","投票答案"
"Poll Information","投票資訊"
"Poll Manager","投票管理器"
"Poll Question","投票問題"
"Poll information","投票資訊"
"Poll with the same question","使用相同問題投票"
"Polls","投票"
"Save Answer","保存答案"
"Save Poll","保存投票"
"Status","狀態"
"The answer has been saved.","答案已被保存。"
"The poll does not exist.","該投票不存在。"
"Unable to find an answer to delete.","無法找到要刪除的答案。"
"Visible In","可見性"
"Vote","投票"
"Votes Count","投票統計"
"Votes Count:","投票統計："
