"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","全部信用卡 / Visa，Mastercard，AMEX，JCB，Diners（由 Moneybookers 支持） - 國際"
"CartaSi (powered by Moneybookers) - Italy","CartaSi（由 Moneybookers 支持） - 義大利"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue（由 Moneybookers 支持） - 法國"
"Customer ID","客戶ID"
"Dankort (powered by Moneybookers) - Denmark","Dankort（由 Moneybookers 支持） - 丹麥"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS Online-Überweisung（由 Moneybookers 支持） - 奧地利"
"Enabled","已啟用"
"Find out more about Online Bank Transfer","了解更多關於在線銀行轉賬的資訊"
"Giropay (powered by Moneybookers) - Germany","Giropay（由 Moneybookers 支持） - 德國"
"Laser (powered by Moneybookers) - Ireland","Laser（由 Moneybookers 支持） - 愛爾蘭"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV)（由 Moneybookers 支持） - 德國"
"Loading secure payment page (SSL)","正在載入安全支付頁面 (SSL)"
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro（由 Moneybookers 支持） - 英國，奧地利，西班牙"
"Moneybookers","Moneybookers"
"Moneybookers Settings","Moneybookers 設置"
"Moneybookers Transaction ID: %s","Moneybookers 交易 ID：%s"
"Moneybookers eWallet","Moneybookers 電子錢包"
"More information about Moneybookers","關於 Moneybookers 的更多資訊"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo（由 Moneybookers 支持） - 芬蘭"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo（由 Moneybookers 支持） - 瑞典"
"Online Bank Transfer (powered by Moneybookers)","在線銀行轉賬（由 Moneybookers 支持）"
"Order ID","訂單 ID"
"POLi (powered by Moneybookers) - Australia","POLi（由 Moneybookers 支持） - 澳大利亞"
"Payment failed.","支付失敗。"
"Payment from Applicable Countries","從可接受的國家支付"
"Payment from Specific Countries","從指定的國家支付"
"Payment has not been processed yet.","支付尚未處理。"
"Payment was canceled.","支付已被取消。"
"Pending bank transfer created.","建立了暫掛的銀行轉帳。"
"Please pay your order now","請立刻為您的訂單付款"
"Postepay (powered by Moneybookers) - Italy","Postepay（由Moneybookers驅動） - 義大利"
"Powered by Moneybookers","由Moneybookers驅動"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24（由Moneybookers驅動） - 波蘭"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung（由Moneybookers驅動） - 德國"
"Sort Order","排序順序"
"The amount has been authorized and captured by Moneybookers.","由Moneybookers授權並獲取的額度。"
"The customer was redirected to Moneybookers.","客戶已重定向到Moneybookers。"
"The order has been canceled.","訂單已被取消。"
"Title","標題"
"You will be redirected to our secure payment page when you place an order.","在下訂單時，您會被重定向到我們的安全支付頁面。"
"eNETS (powered by Moneybookers) - Singapore","eNETS（由Moneybookers驅動） - 新加坡"
"iDeal (powered by Moneybookers) - Netherlands","iDeal（由Moneybookers驅動） - 荷蘭"
